# Actions by run and type
Type	show	talk	call	put	rem	touch	mis	ges	exp	look	play
"1.1"	0.0	0.0	0.565856830665	0.68174854421	0.294670473135	0.432174139899	0.0	0.0	4.07847007766	0.68556952021	0.0	
"1.2"	0.0	0.0	0.809070320613	0.558395180733	0.466864792645	0.433735916057	0.0	0.0	4.5559786129	0.730750208887	0.0	
"1.3"	0.0	0.0	0.890511840001	0.58423147763	0.58423147763	0.412118387856	0.0	0.0	3.04945136225	0.250424700378	0.0	
"1.4"	0.0	0.27875475745	1.01377294511	0.59597437015	0.59597437015	0.696553332413	0.0	0.13034863916	3.98661374848	0.614031849279	0.0	
"1.5"	0.0	0.154016757023	0.734737393949	0.599358332577	0.599358332577	0.570262107452	0.0	0.131114296703	4.07713802617	0.463979271206	0.0	
"2.1"	0.0	0.113388969521	1.47798832388	0.664325309975	0.664325309975	0.646703054958	0.0	0.226777939042	5.52812224987	0.113388969521	0.0	
"2.2"	0.0	0.0	0.548477327256	0.548477327256	0.548477327256	0.26766751145	0.0	0.0926383399209	3.46478061112	0.816144838706	0.0	
"2.3"	0.0	0.207285390526	1.04998311114	0.435500224295	0.435500224295	0.327455969368	0.0	0.193134026536	5.26828689167	1.13615123782	0.0	
"2.4"	0.0	0.280340719453	0.97146938417	0.384659517701	0.384659517701	0.289261517243	0.0	0.375738719911	4.86011055422	0.0929644503942	0.0	
"2.5"	0.0	0.836041555922	0.671954896752	0.671954896752	0.671954896752	0.81126546321	0.0	0.494934388594	3.50934448812	0.513870458584	0.0	
"2.6"	0.0	0.544570916023	0.714608097487	0.572847238605	0.572847238605	0.311798040345	0.0768057020553	0.141760858882	2.60096753215	0.0768057020553	0.0	
"2.7"	0.0	0.14386557201	1.06008417501	0.474256602985	0.474256602985	0.399302113058	0.0	0.406578797174	4.35599648668	0.776901772217	0.0	
"2.8"	0.205358487466	0.308037731199	0.776749958135	0.44111528654	0.44111528654	0.335634671595	0.0	0.205358487466	4.73725864449	0.667343193108	0.0	
"2.9"	0.188489570244	0.0	1.1493393531	0.781732472962	0.781732472962	0.398010187072	0.0	0.963478897804	4.64387612509	0.96530640237	0.0	
