# Duration of Actions by run and type
Type	show	talk	touch	mis	ges	look
"1.1"	0.139080261798	0.0	0.0	0.0	0.0	0.912839073103	
"1.2"	0.138280247969	0.129462377084	0.0809640872168	0.0	0.0	0.41928860748	
"1.3"	0.275942132524	0.18284515092	0.131273441686	0.0	0.226871572804	1.744848187	
"1.4"	0.148126083189	0.0	0.124335636413	0.0	0.791896216658	1.00543193384	
"1.5"	0.0	0.0	0.132221266694	0.0	0.0	1.53202294795	
"2.1"	0.0	0.0	0.0	0.0	0.0	2.81483143621	
"2.2"	0.0	0.0	0.116961527661	0.0	0.140056022409	0.472306093475	
"2.3"	0.0	0.509862489199	0.351858224363	0.0	0.37197993644	3.03282826016	
"2.4"	0.0	0.211793153036	0.186830263951	0.0	0.352624461619	0.691939720474	
"2.5"	0.0	0.0	0.208387248559	0.0	0.940984986959	1.053056666	
"2.6"	0.0	0.0	0.0640365081702	0.0	0.185967345395	0.830352837965	
"2.7"	0.0	0.621659817131	0.61366018041	0.0	0.100663106881	1.27874365303	
"2.8"	0.0	0.650023776139	0.116303230463	0.0	0.278862756274	0.457968230939	
"2.9"	0.0	0.349587592141	1.00720734991	0.0	0.132970706711	1.19492423177	
