# Duration of Actions by run and type
Type	show	talk	touch	mis	ges	look
"1.1"	0.0753422666628	0.387069305369	0.275301562861	0.0	0.17172593235	0.84272664138	
"1.2"	0.0	0.393707101918	0.57876334023	0.0	0.162181286412	0.313148089958	
"1.3"	0.0	0.600860480143	1.05542055759	0.0	0.357685716051	0.930642485367	
"1.4"	0.0	0.425955018196	0.739963355617	0.0	0.397731028932	0.46234256927	
"1.5"	0.0	0.253208267618	0.652545625279	0.0	0.120229102681	0.0931458400639	
"2.1"	0.0	0.558913000138	0.908105072934	0.0	0.457800534747	0.593203114883	
"2.2"	0.0	0.360414605127	0.130920282513	0.381618323285	0.546647008084	0.0	
"2.3"	0.233965587745	0.456300498384	0.569275358923	0.0917619190856	0.100193895053	1.162742401	
"2.4"	0.0	0.153261513789	0.334921420249	0.145940103894	0.504449584628	0.886541361928	
"2.5"	0.179197103885	0.511501573022	0.321229711835	0.426979164649	0.0	0.0	
"2.6"	0.0	0.446606000492	0.469593995627	0.0	0.744786225584	0.0	
"2.7"	0.0	0.26464797106	0.0	0.0	0.231512904606	0.971787823879	
"2.8"	0.0	0.132475144184	0.0724197454871	1.00616879207	0.315509805935	0.598280744786	
"2.9"	0.0	0.862510781912	0.770329887978	0.0	0.627324566146	0.258102941459	
