# Actions by subject and type
Subject	show	talk	touch	mis	ges	look	play	idx
"disobey1"	1	0	2	0	2	10	0	7.75
"disobey2"	0	0	5	1	0	9	0	3.25
"disobey3"	1	41	13	8	10	8	2	3.75
"disobey4"	1	0	13	0	9	3	0	7.5
"disobey5"	0	14	14	0	6	9	0	3.25
"lost1"	0	4	1	0	16	34	0	5
"lost2"	4	4	3	0	1	21	0	7.25
"lost3"	0	0	0	0	0	20	0	8.25
"lost4"	0	6	11	0	2	11	0	6.5
"mistake1"	0	6	11	1	6	23	0	3.5
"mistake2"	0	4	0	0	4	18	0	7.75
"mistake3"	3	12	19	0	14	16	0	5.25
"mistake4"	0	0	15	0	1	5	0	7.5














