# Duration of Actions by run and type
Type	show	talk	call	put	rem	touch	mis	ges	exp	look
"1.1"	0.0717717215774	0.148872809757	0.680958121128	1.29033502035	0.723964064579	0.183966630657	0.0	0.0660484355194	20.3580051329	0.878304733646	
"1.2"	0.0425477686059	0.191260385994	1.052853393	1.20022572671	1.12021994408	0.366580922741	0.0	0.0623774178507	20.8449250422	0.602202008181	
"1.3"	0.0849052715457	0.287360231107	1.01573610967	1.13572296949	1.08910081605	0.700532112786	0.0	0.207378067036	18.0774247488	0.966647862988	
"1.4"	0.0455772563658	0.213317882056	1.29179846335	1.30295741471	1.19859184532	0.557912567149	0.0	0.429120738628	19.7409674953	0.868579515424	
"1.5"	0.0	0.187902258596	1.11333564133	1.40213052415	1.22718002513	0.700870245163	0.0	0.170296258681	22.5698951784	0.720218299467	
"2.1"	0.0	0.272184356981	1.60822655644	1.31577216582	1.35006618975	0.476089827355	0.0	0.365105263169	20.8793757659	1.1386706117	
"2.2"	0.0	0.138621001972	1.04712579739	1.14439441824	1.23825350122	0.194218458714	0.146776278187	0.301486442659	18.0489165293	0.577668092073	
"2.3"	0.0899867645173	0.423458969185	1.45807871189	0.597298608256	0.730332166444	0.419331184214	0.0352930458021	0.26664508151	23.1221088677	1.79935267688	
"2.4"	0.0	0.258610801533	1.30231739608	0.62956244368	0.963578625791	0.322168690812	0.0561308091901	0.462116870415	20.5905566507	0.570958830698	
"2.5"	0.0689219630328	0.741516742259	1.26206628035	1.17191097485	1.3610463598	0.635075686398	0.164222755634	0.614627731979	15.8820121541	0.500711262572	
"2.6"	0.0	0.488559005628	1.47834590379	1.13136149839	1.17775616949	0.32617008734	0.0401989228296	0.393402309692	14.9512729693	0.282694215702	
"2.7"	0.0	0.342690180671	1.41635546965	0.695874520388	0.98821219065	0.303513052592	0.0	0.410998597017	18.0754005408	1.05195710337	
"2.8"	0.261373964124	0.420237875166	1.54986652074	0.769113451957	0.950793346973	0.158355864597	0.386987996949	0.2842422672	17.6201930181	0.674540570698	
"2.9"	0.127418949485	0.439300329087	1.74024582465	1.1759608301	1.43878274698	0.87711173258	0.0	0.688875838373	16.3912178794	0.849940043339	
