# Actions by run and type
Type	show	talk	touch	mis	ges	look	play
"1.1"	0.107647261454	0.0	0.0	0.0	0.0	0.611504526175	0.0	
"1.2"	0.100203078239	0.100203078239	0.100203078239	0.0	0.0	0.319146021707	0.0	
"1.3"	0.167440614395	0.167440614395	0.167440614395	0.0	0.0588359887976	0.678829809579	0.0	
"1.4"	0.135398613518	0.0	0.295030820912	0.0	0.404979146209	0.564003006431	0.0	
"1.5"	0.0	0.0	0.189700526103	0.0	0.0	0.824593260637	0.0	
"2.1"	0.0	0.0	0.0	0.0	0.0	0.925860122186	0.0	
"2.2"	0.0	0.0	0.140409997192	0.0	0.200080032013	0.333748829941	0.0	
"2.3"	0.0	0.363503995902	0.0860289057123	0.0	0.287169276716	1.86222121283	0.0	
"2.4"	0.0	0.0869787076124	0.0869787076124	0.0	0.302344699748	0.740644534203	0.0	
"2.5"	0.0	0.0	0.176449829432	0.0	0.462097718264	1.08348765125	0.0	
"2.6"	0.0	0.0	0.157725389582	0.0	0.15759944525	0.618882342479	0.0	
"2.7"	0.0	0.417042047418	0.308217067006	0.0	0.108824980412	0.825651545738	0.0	
"2.8"	0.0	0.374187192199	0.164038406859	0.0	0.251454243709	0.394839921384	0.0	
"2.9"	0.0	0.205518866632	0.475209884366	0.0	0.205518866632	1.07831413512	0.0	
