# Duration of Actions by run and type
Type	show	talk	touch	mis	ges	look
"1.1"	0.0717717215774	0.148872809757	0.183966630657	0.0	0.0660484355194	0.878304733646	
"1.2"	0.0425477686059	0.191260385994	0.366580922741	0.0	0.0623774178507	0.602202008181	
"1.3"	0.0849052715457	0.287360231107	0.700532112786	0.0	0.207378067036	0.966647862988	
"1.4"	0.0455772563658	0.213317882056	0.557912567149	0.0	0.429120738628	0.868579515424	
"1.5"	0.0	0.187902258596	0.700870245163	0.0	0.170296258681	0.720218299467	
"2.1"	0.0	0.272184356981	0.476089827355	0.0	0.365105263169	1.1386706117	
"2.2"	0.0	0.138621001972	0.194218458714	0.146776278187	0.301486442659	0.577668092073	
"2.3"	0.0899867645173	0.423458969185	0.419331184214	0.0352930458021	0.26664508151	1.79935267688	
"2.4"	0.0	0.258610801533	0.322168690812	0.0561308091901	0.462116870415	0.570958830698	
"2.5"	0.0689219630328	0.741516742259	0.635075686398	0.164222755634	0.614627731979	0.500711262572	
"2.6"	0.0	0.488559005628	0.32617008734	0.0401989228296	0.393402309692	0.282694215702	
"2.7"	0.0	0.342690180671	0.303513052592	0.0	0.410998597017	1.05195710337	
"2.8"	0.261373964124	0.420237875166	0.158355864597	0.386987996949	0.2842422672	0.674540570698	
"2.9"	0.127418949485	0.439300329087	0.87711173258	0.0	0.688875838373	0.849940043339	
