# Actions by run and type
Type	show	talk	touch	mis	ges	look	play
"1.1"	0.0	0.0	0.432174139899	0.0	0.0	0.68556952021	0.0	
"1.2"	0.0	0.0	0.433735916057	0.0	0.0	0.730750208887	0.0	
"1.3"	0.0	0.0	0.412118387856	0.0	0.0	0.250424700378	0.0	
"1.4"	0.0	0.27875475745	0.696553332413	0.0	0.13034863916	0.614031849279	0.0	
"1.5"	0.0	0.154016757023	0.570262107452	0.0	0.131114296703	0.463979271206	0.0	
"2.1"	0.0	0.113388969521	0.646703054958	0.0	0.226777939042	0.113388969521	0.0	
"2.2"	0.0	0.0	0.26766751145	0.0	0.0926383399209	0.816144838706	0.0	
"2.3"	0.0	0.207285390526	0.327455969368	0.0	0.193134026536	1.13615123782	0.0	
"2.4"	0.0	0.280340719453	0.289261517243	0.0	0.375738719911	0.0929644503942	0.0	
"2.5"	0.0	0.836041555922	0.81126546321	0.0	0.494934388594	0.513870458584	0.0	
"2.6"	0.0	0.544570916023	0.311798040345	0.0768057020553	0.141760858882	0.0768057020553	0.0	
"2.7"	0.0	0.14386557201	0.399302113058	0.0	0.406578797174	0.776901772217	0.0	
"2.8"	0.205358487466	0.308037731199	0.335634671595	0.0	0.205358487466	0.667343193108	0.0	
"2.9"	0.188489570244	0.0	0.398010187072	0.0	0.963478897804	0.96530640237	0.0	
